DATE,WLEMUINDXD
2019-12-04,53.21000
2019-12-05,9.68000
2019-12-06,50.57000
2019-12-07,139.17000
2019-12-08,161.06000
2019-12-09,108.72000
2019-12-10,34.64000
2019-12-11,28.41000
2019-12-12,65.49000
2019-12-13,140.27000
2019-12-14,102.73000
2019-12-15,207.09000
2019-12-16,32.18000
2019-12-17,156.80000
2019-12-18,47.19000
2019-12-19,19.49000
2019-12-20,43.70000
2019-12-21,87.32000
2019-12-22,128.36000
2019-12-23,16.18000
2019-12-24,14.16000
2019-12-25,57.05000
2019-12-26,51.04000
2019-12-27,111.94000
2019-12-28,193.91000
2019-12-29,234.03000
2019-12-30,99.74000
2019-12-31,92.54000
2020-01-01,195.39000
2020-01-02,109.58000
2020-01-03,68.11000
2020-01-04,217.28000
2020-01-05,250.16000
2020-01-06,101.33000
2020-01-07,94.95000
2020-01-08,105.29000
2020-01-09,29.81000
2020-01-10,10.30000
2020-01-11,58.15000
2020-01-12,55.74000
2020-01-13,62.42000
2020-01-14,68.85000
2020-01-15,111.13000
2020-01-16,40.20000
2020-01-17,53.72000
2020-01-18,14.65000
2020-01-19,127.76000
2020-01-20,54.04000
2020-01-21,12.10000
2020-01-22,19.30000
2020-01-23,58.59000
2020-01-24,42.43000
2020-01-25,44.26000
2020-01-26,83.34000
2020-01-27,102.15000
2020-01-28,177.55000
2020-01-29,46.53000
2020-01-30,137.40000
2020-01-31,248.36000
2020-02-01,114.64000
2020-02-02,54.86000
2020-02-03,108.64000
2020-02-04,70.54000
2020-02-05,92.92000
2020-02-06,58.53000
2020-02-07,53.44000
2020-02-08,57.62000
2020-02-09,27.20000
2020-02-10,61.57000
2020-02-11,34.36000
2020-02-12,63.33000
2020-02-13,39.25000
2020-02-14,52.49000
2020-02-15,86.21000
2020-02-16,53.12000
2020-02-17,66.68000
2020-02-18,35.85000
2020-02-19,101.92000
2020-02-20,77.78000
2020-02-21,82.92000
2020-02-22,28.20000
2020-02-23,65.33000
2020-02-24,93.18000
2020-02-25,388.12000
2020-02-26,109.69000
2020-02-27,212.21000
2020-02-28,360.14000
2020-02-29,647.86000
2020-03-01,199.50000
2020-03-02,201.53000
